"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.11.2022","95,87","93,93","96,91","93,68","","2,35%"
"10.11.2022","93,67","92,53","94,32","91,73","278,53K","1,10%"
"09.11.2022","92,65","95,17","95,65","92,33","308,02K","-2,84%"
"08.11.2022","95,36","98,24","98,30","95,00","251,67K","-2,61%"
"07.11.2022","97,92","97,31","99,56","96,50","241,94K","-0,66%"
"04.11.2022","98,57","94,58","98,81","94,33","307,09K","4,12%"
"03.11.2022","94,67","95,36","95,98","94,19","229,12K","-1,55%"
"02.11.2022","96,16","94,85","96,50","94,01","253,00K","1,60%"
"01.11.2022","94,65","92,67","95,55","92,33","247,65K","-0,19%"
"31.10.2022","94,83","96,47","96,47","94,25","15,00K","-0,98%"
"28.10.2022","95,77","96,58","96,89","94,96","89,94K","-1,23%"
"27.10.2022","96,96","96,05","97,27","95,07","84,57K","1,33%"
"26.10.2022","95,69","92,91","96,25","92,06","138,00K","4,31%"
"25.10.2022","91,74","91,40","92,48","89,75","222,20K","0,58%"
"24.10.2022","91,21","91,23","92,30","89,01","178,75K","-0,14%"
"21.10.2022","91,34","90,48","91,72","89,17","181,51K","0,98%"
"20.10.2022","90,45","90,47","92,66","90,01","211,69K","-0,12%"
"19.10.2022","90,56","89,31","90,95","87,90","260,25K","2,21%"
"18.10.2022","88,60","90,53","91,22","87,52","247,36K","-1,75%"
"17.10.2022","90,18","90,20","91,79","89,49","163,34K","0,03%"
"14.10.2022","90,15","92,81","93,45","89,81","153,89K","-4,67%"
"13.10.2022","94,57","92,49","94,92","91,08","280,52K","2,29%"
"12.10.2022","92,45","93,72","95,17","91,56","257,66K","-1,95%"
"11.10.2022","94,29","95,93","96,46","93,11","259,03K","-1,98%"
